month,day_or_index,month_id,theme,motif,category,difficulty,selection_phase,availability,display_title,display_title_key,internal_id,asset_file_name,palette_count,grid_size,estimated_minutes,sort_order,prompt,notes
2,1,month-02,valentine_winter,heart_box,seasonal,easy,early,always,Heart Box,,daily_02_001_heart_box_easy,daily_02_001_heart_box_easy,4,32,4,3201,"simple heart box sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 4 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
2,2,month-02,valentine_winter,ribbon_chocolate,food,easy,early,always,Ribbon Chocolate,,daily_02_002_ribbon_chocolate_easy,daily_02_002_ribbon_chocolate_easy,5,32,5,3202,"simple ribbon chocolate sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 5 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
2,3,month-02,valentine_winter,strawberry_bonbon,food,easy,early,always,Strawberry Bonbon,,daily_02_003_strawberry_bonbon_easy,daily_02_003_strawberry_bonbon_easy,5,32,5,3203,"simple strawberry bonbon sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 5 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
2,4,month-02,valentine_winter,cocoa_mug,food,easy,early,always,Cocoa Mug,,daily_02_004_cocoa_mug_easy,daily_02_004_cocoa_mug_easy,6,32,6,3204,"simple cocoa mug sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 6 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
2,5,month-02,valentine_winter,heart_cookie,food,easy,early,always,Heart Cookie,,daily_02_005_heart_cookie_easy,daily_02_005_heart_cookie_easy,4,32,4,3205,"simple heart cookie sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 4 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
2,6,month-02,valentine_winter,rose_letter,objects,easy,early,always,Rose Letter,,daily_02_006_rose_letter_easy,daily_02_006_rose_letter_easy,5,32,5,3206,"simple rose letter sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 5 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
2,7,month-02,valentine_winter,snow_bunny,seasonal,easy,early,always,Snow Bunny,,daily_02_007_snow_bunny_easy,daily_02_007_snow_bunny_easy,6,32,6,3207,"simple snow bunny sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 6 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
2,8,month-02,valentine_winter,mitten_cat,animals,easy,early,always,Mitten Cat,,daily_02_008_mitten_cat_easy,daily_02_008_mitten_cat_easy,4,32,4,3208,"simple mitten cat sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 4 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
2,9,month-02,valentine_winter,berry_tart,food,easy,early,always,Berry Tart,,daily_02_009_berry_tart_easy,daily_02_009_berry_tart_easy,5,32,5,3209,"simple berry tart sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 5 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
2,10,month-02,valentine_winter,valentine_envelope,objects,easy,early,always,Valentine Envelope,,daily_02_010_valentine_envelope_easy,daily_02_010_valentine_envelope_easy,6,32,6,3210,"simple valentine envelope sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 6 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
